country,continents,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
United Kingdom,Oceania,1992,44.4,1306494450,3998.03,ISO495,18
Mexico,Oceania,1992,63.44,483927890,76268.51,ISO494,81
Saudi Arabia,Asia,2025,72.42,405411369,53501.77,ISO726,504
United Kingdom,South America,1966,71.59,364121103,75393.45,ISO174,591
Nigeria,Europe,2008,60.29,1294453452,16773.12,ISO197,421
Egypt,North America,1960,63.5,191027695,4215.28,ISO482,843
Argentina,Europe,1998,63.23,1137409855,39568.59,ISO722,278
Egypt,South America,2019,71.12,154879409,36599.25,ISO968,497
Spain,Oceania,2003,42.16,903170423,27187.89,ISO469,200
Russia,North America,1976,71.95,886758407,76654.86,ISO384,379
United States,Africa,2019,66.2,1220413943,65984.11,ISO355,734
Italy,Oceania,2019,48.91,561585137,53264.98,ISO929,66
China,Oceania,1960,42.21,799316126,13865.81,ISO408,364
Mexico,Asia,1950,44.88,597766892,59011.55,ISO728,976
Canada,South America,1966,63.61,778294296,58433.98,ISO275,547
Argentina,Asia,1950,74.13,227063782,34580.39,ISO327,994
Brazil,Asia,1955,55.06,274066900,74058.09,ISO446,748
Nigeria,Europe,1960,57.06,935042038,14191.25,ISO717,113
France,Oceania,1987,82.04,1013313079,22119.67,ISO441,680
Italy,South America,1998,49.59,677342840,5994.72,ISO995,197
France,Asia,1966,44.67,1160651825,63840.63,ISO338,522
France,Africa,1966,55.45,303579301,50118.99,ISO711,947
Indonesia,North America,2014,73.57,1327565936,25880.28,ISO787,654
Spain,South America,1998,68.17,164703211,13941.28,ISO449,462
Argentina,Europe,1992,58.71,199898082,4171.67,ISO554,858
Mexico,South America,1982,83.41,871329860,14172.9,ISO540,802
France,Oceania,1955,73.07,135854712,36809.49,ISO860,943
Italy,Europe,1960,42.78,1176035483,20526.98,ISO687,304
Japan,North America,1966,73.51,1313125873,21459.59,ISO614,971
India,Africa,1966,41.08,993463348,70170.53,ISO180,571
India,Asia,1998,69.26,1392307923,41695.88,ISO460,675
Russia,South America,1987,49.47,938549580,58610.91,ISO387,499
France,Europe,1998,71.34,467993866,3821.16,ISO107,152
South Africa,North America,2019,53.94,537041362,29847.91,ISO186,802
Germany,Asia,1998,79.29,466996855,38854.38,ISO385,772
Mexico,North America,1976,55.16,485092981,15726.93,ISO498,464
Canada,Africa,1960,67.89,765495652,10495.13,ISO173,142
Italy,Asia,2003,52.87,835808820,69754.0,ISO538,864
Germany,Asia,1992,81.27,112917787,75215.1,ISO222,839
Germany,Asia,1998,75.14,1089642555,7225.73,ISO476,295
Brazil,Europe,1987,50.95,281827107,28572.48,ISO905,338
Australia,Asia,1992,82.7,574078955,76704.56,ISO242,702
Saudi Arabia,North America,2025,56.07,413643173,7569.78,ISO257,838
United States,Europe,1971,69.33,712089874,51847.67,ISO529,187
United States,Asia,1960,73.43,1085559382,77805.49,ISO547,310
South Africa,North America,1966,41.03,714241371,78279.67,ISO509,928
Germany,North America,2019,83.15,701920707,38226.64,ISO470,984
Germany,South America,2014,55.5,879365371,13857.18,ISO208,901
Canada,North America,2008,48.54,1239919185,16964.66,ISO945,265
Italy,Oceania,1971,78.28,1070532604,71278.51,ISO806,930
Saudi Arabia,Africa,1992,71.63,175448176,73022.96,ISO135,313
Egypt,Asia,1992,43.9,333028530,49022.49,ISO189,347
Spain,Asia,2019,45.27,1329200742,61527.94,ISO514,427
Germany,Asia,1960,72.18,441282840,59454.57,ISO395,660
Argentina,North America,1982,43.37,1378076433,53283.91,ISO941,776
France,North America,1976,81.27,602859845,66354.88,ISO812,517
Nigeria,Asia,2025,73.37,839351058,55147.12,ISO145,829
Saudi Arabia,Oceania,1966,55.1,1168237684,43186.18,ISO587,527
Russia,Europe,1971,56.33,616451595,19719.55,ISO718,264
Germany,Europe,2019,62.79,112796066,59767.16,ISO269,365
South Africa,Africa,2025,56.24,161282432,38401.59,ISO245,959
Australia,South America,1998,75.26,1019085508,24288.54,ISO967,172
Spain,Africa,1955,83.86,1155302400,64353.76,ISO519,663
Egypt,Asia,2003,66.3,1178639175,56040.37,ISO789,203
Argentina,Asia,1982,60.07,1031957166,75049.83,ISO672,388
Egypt,Asia,2019,50.02,856715370,14069.89,ISO102,315
France,South America,1966,69.4,984991121,52285.95,ISO693,585
India,North America,1955,70.85,866195245,20294.92,ISO362,315
United States,South America,2003,70.83,1082937786,72383.06,ISO898,569
France,Africa,1976,41.21,181544968,8860.45,ISO420,398
