total_bill,tip,sex,smoker,day,time,size
25.6,1.57,Male,Yes,Sat,Lunch,5
57.29,6.84,Female,No,Thur,Lunch,4
45.26,6.95,Female,No,Sat,Lunch,5
37.93,8.01,Female,Yes,Sun,Dinner,3
13.58,8.99,Male,Yes,Thur,Dinner,1
13.58,11.73,Female,Yes,Sat,Dinner,6
8.19,6.68,Male,No,Sun,Lunch,3
52.64,4.55,Female,No,Thur,Lunch,3
38.06,9.75,Male,No,Sun,Lunch,2
43.94,3.98,Male,No,Fri,Dinner,2
6.13,5.83,Male,Yes,Fri,Dinner,2
58.35,1.86,Female,Yes,Thur,Lunch,6
50.78,1.28,Female,Yes,Sat,Dinner,2
16.68,11.59,Female,Yes,Thur,Lunch,5
15.0,10.2,Female,No,Sun,Lunch,4
15.09,8.66,Male,No,Sat,Dinner,1
21.73,5.5,Female,Yes,Fri,Lunch,3
33.86,2.91,Female,Yes,Sat,Dinner,5
28.76,2.72,Male,No,Fri,Lunch,1
21.02,3.75,Male,Yes,Sat,Dinner,5
38.65,7.04,Male,No,Sat,Dinner,5
12.67,8.86,Female,Yes,Sat,Dinner,3
21.07,8.26,Male,Yes,Sun,Lunch,4
25.15,4.08,Male,Yes,Sun,Lunch,2
30.08,11.5,Male,Yes,Thur,Dinner,6
48.18,9.12,Female,Yes,Thur,Dinner,4
15.98,7.1,Male,Yes,Fri,Lunch,6
33.28,7.73,Female,Yes,Sun,Lunch,3
37.58,5.62,Female,No,Fri,Lunch,3
7.55,3.73,Male,No,Thur,Dinner,3
38.41,4.92,Male,No,Fri,Lunch,1
14.38,9.34,Female,No,Thur,Lunch,6
8.58,1.16,Male,No,Sun,Dinner,4
57.19,2.28,Male,Yes,Sat,Lunch,4
58.11,1.51,Female,Yes,Sun,Lunch,5
49.46,1.45,Female,No,Fri,Lunch,5
21.75,10.41,Male,Yes,Fri,Dinner,5
10.37,8.74,Female,No,Sun,Dinner,3
42.63,6.22,Male,No,Sun,Dinner,4
29.21,2.08,Male,Yes,Thur,Dinner,6
11.71,6.41,Male,Yes,Fri,Dinner,3
32.23,6.21,Female,Yes,Fri,Dinner,1
6.89,2.91,Male,No,Sun,Dinner,5
55.01,5.77,Male,Yes,Sat,Lunch,3
19.23,5.38,Male,No,Fri,Lunch,3
41.44,7.77,Female,No,Sat,Dinner,1
22.14,7.99,Female,No,Sun,Lunch,2
33.6,1.5,Female,Yes,Sun,Lunch,4
35.07,5.12,Female,Yes,Thur,Dinner,6
15.17,7.88,Female,No,Fri,Lunch,2
58.33,6.53,Male,Yes,Sat,Lunch,5
47.63,10.42,Female,Yes,Thur,Lunch,3
56.67,8.25,Female,Yes,Fri,Lunch,1
54.22,2.79,Female,No,Thur,Lunch,1
37.88,1.78,Male,No,Sun,Dinner,4
55.7,8.07,Female,Yes,Fri,Dinner,2
9.87,1.29,Female,No,Thur,Dinner,4
15.78,7.44,Male,Yes,Thur,Lunch,3
7.49,11.34,Female,Yes,Sat,Dinner,4
22.89,7.33,Male,Yes,Thur,Lunch,6
26.38,5.27,Male,Yes,Fri,Lunch,1
19.92,8.08,Male,No,Fri,Lunch,1
50.58,6.04,Male,No,Sat,Lunch,5
24.62,7.0,Male,No,Fri,Dinner,5
20.45,11.36,Female,Yes,Sun,Dinner,3
34.85,5.25,Male,Yes,Fri,Lunch,6
12.75,11.57,Male,Yes,Fri,Dinner,2
49.12,10.96,Female,No,Thur,Lunch,4
9.1,3.15,Male,Yes,Thur,Dinner,3
59.28,1.76,Female,No,Fri,Dinner,5
47.47,2.11,Female,No,Sat,Lunch,4
15.93,1.2,Female,No,Thur,Dinner,5
5.3,2.04,Male,No,Sat,Lunch,4
49.85,8.51,Male,No,Fri,Dinner,2
43.88,1.78,Male,No,Fri,Lunch,3
45.1,4.51,Female,Yes,Sun,Lunch,4
47.42,10.29,Male,Yes,Thur,Dinner,6
9.07,1.26,Male,No,Fri,Dinner,1
24.72,9.96,Male,No,Sun,Lunch,6
11.37,4.1,Female,Yes,Thur,Dinner,6
52.47,2.3,Female,No,Fri,Dinner,1
39.28,8.66,Male,No,Fri,Lunch,6
23.2,7.92,Male,Yes,Thur,Lunch,4
8.5,10.65,Male,No,Thur,Dinner,4
22.1,9.09,Male,No,Thur,Lunch,4
22.89,9.84,Female,No,Fri,Lunch,1
45.13,4.1,Female,Yes,Fri,Lunch,6
40.07,2.95,Female,Yes,Sun,Dinner,1
53.8,9.26,Female,Yes,Sat,Dinner,4
30.97,9.88,Male,No,Thur,Lunch,6
11.58,11.9,Male,No,Fri,Dinner,6
44.23,5.54,Male,Yes,Fri,Lunch,5
46.84,5.09,Female,No,Thur,Dinner,5
35.87,9.54,Male,No,Sat,Lunch,2
47.4,4.75,Female,No,Thur,Lunch,3
32.16,11.24,Female,No,Sat,Dinner,5
33.75,10.44,Male,No,Fri,Lunch,1
28.51,5.72,Male,Yes,Sat,Dinner,5
6.4,9.26,Male,No,Sun,Dinner,2
10.93,9.3,Female,Yes,Fri,Lunch,6
6.73,2.13,Male,No,Sun,Lunch,2
40.0,10.93,Female,Yes,Thur,Dinner,6
22.29,6.56,Male,No,Thur,Lunch,6
32.97,10.09,Female,Yes,Thur,Lunch,3
54.92,4.52,Female,No,Sat,Lunch,5
18.71,10.85,Male,Yes,Fri,Lunch,1
27.57,5.28,Female,No,Thur,Lunch,1
46.56,1.12,Female,Yes,Thur,Dinner,4
17.58,10.96,Male,No,Fri,Dinner,6
9.23,2.0,Female,Yes,Thur,Lunch,1
